,HORA,PROMEDIO
0, 1:00,12.083424807903404
1, 2:00,11.587912087912088
2, 3:00,11.66220735785953
3, 4:00,11.292122538293217
4, 5:00,11.469094922737307
5, 6:00,12.619
6, 7:00,15.528662420382165
7, 8:00,20.239033124440464
8, 9:00,21.86715195632393
9, 10:00,20.87679083094556
10, 11:00,17.13811007268951
11, 12:00,15.378704720087816
12, 13:00,15.081206496519721
13, 14:00,15.004581901489118
14, 15:00,15.611542730299668
15, 16:00,15.754134509371555
16, 17:00,16.1288056206089
17, 18:00,16.052350427350426
18, 19:00,16.099276111685626
19, 20:00,15.202404809619239
20, 21:00,14.504770992366412
21, 22:00,14.00494559841741
22, 23:00,13.2861328125
23, 00:00,12.829344432882413
