,HORA,PROMEDIO
0, 1:00,29.425092641609318
1, 2:00,25.314922995220392
2, 3:00,22.630411826821543
3, 4:00,21.58214474379292
4, 5:00,23.25935687928308
5, 6:00,29.38150289017341
6, 7:00,37.945817990531296
7, 8:00,42.21473684210526
8, 9:00,39.594637223974765
9, 10:00,33.87745358090186
10, 11:00,29.169851380042463
11, 12:00,27.214551248008497
12, 13:00,26.319659030367607
13, 14:00,26.368140649973363
14, 15:00,26.857596611964002
15, 16:00,27.308056872037916
16, 17:00,27.97222222222222
17, 18:00,28.825039287585124
18, 19:00,30.792364016736403
19, 20:00,33.11058946270214
20, 21:00,35.891849529780565
21, 22:00,36.62899005756149
22, 23:00,35.903684210526315
23, 00:00,33.62526427061311
