,Unnamed: 0,HORA, Kennedy  , Puente Aranda , Tunal    , Las Ferias , Fontibon , MinAmbiente , Centro de Alto Rendimiento , Suba     , Usaquen , Carvajal - Sevillana , Guaymaral , San Cristobal 
0,0, 01:00,24.103202134756497,19.46236162361624,17.853867791842468,19.091014867485455,19.0792039800995,16.354604786076866,17.370824812542605,17.963892288861693,14.873391178597254,29.943334972946385,15.906926406926408,13.329734361610965
1,1, 02:00,22.63383356070941,18.50925789860397,17.012655601659752,18.493898522800254,18.04868173258004,15.96360879454132,16.95880420499343,17.048645320197046,14.131044558071586,25.77084361124815,15.631808278867107,12.423509655751467
2,2, 03:00,22.342817487855655,17.802348484848483,16.059984756097563,17.329271523178807,16.226634146341464,15.560617193240265,15.57615803814714,17.014474512271867,14.153913043478262,23.119674556213017,14.856826568265687,12.1248436103664
3,3, 04:00,23.10855949895616,17.793819806403576,15.52972972972973,17.16889790398918,15.472673849167483,15.669888475836432,15.030099150141645,16.971323978035386,14.21349840255591,22.117492566897923,14.963440860215053,11.835741088180113
4,4, 05:00,25.141989319092122,18.62055100521221,16.447720994475137,17.76007984031936,15.404170804369414,16.19884726224784,14.497818437719914,19.22683513838749,13.717271293375394,24.01522167487685,16.369843527738265,11.632839962997224
5,5, 06:00,32.19803536345776,20.856236481615,21.0982208588957,22.268137847642077,16.644625719769675,18.51892950391645,14.677576974564927,24.248531139835485,15.935988414192613,30.68295065950171,19.980352303523034,12.070996732026146
6,6, 07:00,39.76307893020222,25.857288828337875,25.581850117096018,25.87698368036016,21.70404040404041,22.887200467562828,18.142739898989905,25.337142857142855,20.356164383561644,39.35295843520782,22.303407601572736,13.683889695210452
7,7, 08:00,41.83649078194533,29.874382921947962,25.984760705289673,27.080022383883605,26.449157581764126,27.773303167420806,23.131257941550192,23.174285714285716,22.347658755612567,43.51788856304986,21.384300341296925,14.933595425303789
8,8, 09:00,37.51861057998725,29.612907518296733,26.308171466845284,25.11026837806301,25.484970530451864,30.36902705814623,22.95188155459593,20.0,21.890786948176583,40.502890739833404,17.349338900487126,15.579941860465114
9,9, 10:00,30.73084544253633,26.50177982860909,25.205956320317675,22.76883640552996,22.584313725490194,27.60256253813301,22.06960659898477,16.578604044357473,19.200065316786414,34.83849601593625,13.78822629969419,17.165247148288973
10,10, 11:00,25.126869622766375,23.067360644728012,23.04765291607397,19.82337662337662,18.434320735444327,23.2544731610338,19.51851851851852,14.31103202846975,16.852327221438642,30.175275827482448,12.147869674185465,17.375273338940286
11,11, 12:00,23.877548301132574,20.615374056280025,21.285835095137426,18.89495686794957,16.77978609625668,19.9840830449827,16.637701317715962,13.68509090909091,15.489458054936895,28.40609571788413,11.469034608378873,17.35549399815328
12,12, 13:00,23.280431848852896,19.07458100558659,20.66848528356066,18.50822656776804,15.843932584269664,20.36948391922214,17.212393493415956,13.604347826086956,15.056643887623384,27.42317747611865,11.359516616314199,16.95436507936508
13,13, 14:00,22.13608316566064,18.306258596973862,20.62839683680805,19.95417808219178,16.918714768883873,19.957971014492756,17.872570532915358,14.938173975557154,16.520232558139533,27.211255627813912,12.209129511677284,16.774628344895934
14,14, 15:00,21.299124579124577,18.368204053109714,21.27676258992805,19.81434262948207,16.927870680044588,20.083394294074616,17.34641006661732,15.830907830907831,17.449314024390244,27.585106382978722,13.201417004048587,16.681748318924107
15,15, 16:00,20.876498002663123,17.82491490810075,21.433997252747254,19.72194805194805,16.576451612903224,20.344927536231886,16.91401938851603,16.32980832782551,18.537209302325586,27.90986261040236,13.54981884057971,16.416758241758238
16,16, 17:00,20.760794701986754,17.61368846931895,23.468377823408627,20.38756443298969,17.785458377239202,20.055240793201133,17.292921013412816,17.26863832409119,18.822513492675405,28.496187683284454,13.878916172734971,16.745819112627984
17,17, 18:00,21.0813672922252,17.4120315581854,24.46157697121401,20.56766687078996,17.798166023166022,20.626947819871337,17.44968152866242,17.887240356083087,18.426355421686747,29.290980009751344,14.008650519031141,16.686098310291854
18,18, 19:00,21.890988567585744,17.912721088435372,23.372052663076,20.20217113665389,17.503107861060332,20.902629708599857,17.310301331464615,18.7468656716418,18.15663381349507,31.067459932005825,14.297366185216653,16.41901114206128
19,19, 20:00,23.53780160857909,19.224284666177553,20.47768446310738,20.343648208469048,17.96400384985563,19.750448585231194,16.885714285714286,19.48588588588589,17.536998514115893,33.36615012106538,15.422546634225464,16.33296551724138
20,20, 21:00,25.474736842105266,20.312528647822766,19.59751815980629,20.530867346938773,18.708090310442145,18.841284403669725,16.907687165775403,20.10892857142857,16.6232223903177,36.134803683955404,15.549887471867967,15.921045296167247
21,21, 22:00,27.22365308804205,20.871439509954055,18.917559153175596,20.339478703115066,19.335714285714285,18.625161290322577,16.99316688567674,20.048024316109426,16.03708609271523,36.836584182435715,15.559886605244508,14.88936170212766
22,22, 23:00,26.894582245430808,20.71501831501832,18.02753441802253,20.000834938985232,19.338063279002874,18.11378413524057,17.122404730617607,18.963030303030305,15.809341057204927,36.123463414634145,16.169175627240143,14.110476190476193
23,23, 00:00,25.275595238095235,20.310457516339874,17.22219986586184,19.74009126466753,18.912865497076023,17.37315436241611,16.97906229929351,18.318459657701712,15.101705756929634,34.094752329573325,16.115827338129495,13.460941176470586
