,HORA,PROMEDIO
0, 1:00,15.429896907216495
1, 2:00,14.448039215686274
2, 3:00,13.757731958762887
3, 4:00,13.311291963377416
4, 5:00,13.410805300713557
5, 6:00,16.44785847299814
6, 7:00,20.158297872340427
7, 8:00,20.74547023295945
8, 9:00,20.616087751371115
9, 10:00,19.729493891797556
10, 11:00,17.855018587360593
11, 12:00,16.05075187969925
12, 13:00,16.090232558139533
13, 14:00,17.026119402985074
14, 15:00,17.13691026827012
15, 16:00,17.368322399250236
16, 17:00,17.8697247706422
17, 18:00,18.135531135531135
18, 19:00,17.68015794669299
19, 20:00,17.066666666666666
20, 21:00,16.48762886597938
21, 22:00,16.118852459016395
22, 23:00,15.140196078431373
23, 00:00,14.521695257315843
