, Fecha y Hora              , San Cristobal , Carvajal - Sevillana , Guaymaral , Puente Aranda , Tunal    , Fontibon , Centro de Alto Rendimiento , Usaquen , Suba     , Las Ferias , Kennedy  , MinAmbiente 
0,2013-01-01 01:00:00,18.012578616352197,29.519128586609988,7.8716577540106965,23.70305676855895,12.083424807903404,18.807557732680195,17.0,13.753323485967504,15.429896907216493,19.865384615384613,17.73572593800979,21.468341708542713
1,2013-01-01 04:00:00,15.720663265306122,21.80791867308721,7.625838926174498,21.916107382550337,11.292122538293214,15.543018335684064,19.0,13.231111111111113,13.311291963377414,94.0,16.524236983842012,20.454545454545453
2,2013-01-01 07:00:00,23.8453276047261,38.03533755274262,8.124780316344465,37.669565217391295,15.528662420382163,19.21505376344086,14.0,19.31027253668763,20.158297872340427,32.0,26.179153094462546,32.83217477656405
3,2013-01-01 10:00:00,22.14300518134715,34.10368786745056,7.961254612546124,27.729596042868923,20.87679083094556,22.659793814432987,7.0,24.24609843937575,19.72949389179756,9.0,20.13109243697479,26.460460460460464
4,2013-01-01 13:00:00,18.245215311004785,26.57296715131933,8.01660516605166,21.740585774058577,15.081206496519721,16.99375,13.0,17.734501347708896,16.090232558139533,6.0,14.427983539094653,20.041019955654107
5,2013-01-01 16:00:00,18.304061470911087,27.373284054910243,7.875925925925926,20.249140893470788,15.754134509371555,17.639940608760213,11.589249492900608,18.667621776504298,17.368322399250236,16.699288256227756,23.0,18.852941176470583
6,2013-01-01 19:00:00,18.26463700234192,30.820942408376965,7.627272727272728,22.05320033250208,16.099276111685626,9.0,9.0,18.131543624161075,17.68015794669299,14.0,16.184448462929474,6.0
7,2013-01-01 22:00:00,18.975155279503106,36.6455497382199,7.669477234401349,26.311165845648603,14.004945598417411,18.456962911126663,11.83092224231465,15.227722772277227,16.118852459016395,6.0,17.0,25.041365046535677
8,2013-01-02 01:00:00,18.012578616352197,29.519128586609988,7.8716577540106965,23.70305676855895,12.083424807903404,18.807557732680195,28.0,13.753323485967504,15.429896907216493,31.0,17.73572593800979,21.468341708542713
9,2013-01-02 04:00:00,15.720663265306122,21.80791867308721,7.625838926174498,21.916107382550337,11.292122538293214,15.543018335684064,47.0,13.231111111111113,13.311291963377414,22.0,16.524236983842012,20.454545454545453
10,2013-01-02 07:00:00,23.8453276047261,38.03533755274262,8.124780316344465,37.669565217391295,15.528662420382163,7.0,42.0,19.31027253668763,20.158297872340427,65.0,26.179153094462546,6.0
11,2013-01-02 10:00:00,22.14300518134715,34.10368786745056,7.961254612546124,27.729596042868923,20.87679083094556,22.659793814432987,55.0,24.24609843937575,19.72949389179756,27.0,20.13109243697479,26.460460460460464
12,2013-01-02 13:00:00,18.245215311004785,26.57296715131933,8.01660516605166,21.740585774058577,15.081206496519721,8.0,31.0,17.734501347708896,16.090232558139533,30.0,14.427983539094653,6.0
13,2013-01-02 16:00:00,18.304061470911087,27.373284054910243,7.875925925925926,20.249140893470788,15.754134509371555,9.0,21.0,18.667621776504298,17.368322399250236,29.0,15.194444444444445,18.852941176470583
14,2013-01-02 19:00:00,18.26463700234192,30.820942408376965,7.627272727272728,22.05320033250208,16.099276111685626,18.250338294993234,31.0,18.131543624161075,17.68015794669299,31.0,16.184448462929474,20.90738813735692
15,2013-01-02 22:00:00,18.975155279503106,36.6455497382199,7.669477234401349,26.311165845648603,14.004945598417411,18.456962911126663,40.0,15.227722772277227,16.118852459016395,44.0,20.114093959731548,25.041365046535677
16,2013-01-03 01:00:00,18.012578616352197,29.519128586609988,7.8716577540106965,23.70305676855895,12.083424807903404,18.807557732680195,12.435499515033948,13.753323485967504,15.429896907216493,9.0,17.73572593800979,21.468341708542713
17,2013-01-03 04:00:00,15.720663265306122,21.80791867308721,7.625838926174498,21.916107382550337,11.292122538293214,15.543018335684064,11.215686274509805,13.231111111111113,13.311291963377414,18.0,16.524236983842012,20.454545454545453
18,2013-01-03 07:00:00,23.8453276047261,38.03533755274262,8.124780316344465,37.669565217391295,15.528662420382163,19.21505376344086,11.0,19.31027253668763,20.158297872340427,21.0,26.179153094462546,8.0
19,2013-01-03 10:00:00,22.14300518134715,34.10368786745056,7.961254612546124,27.729596042868923,20.87679083094556,22.659793814432987,14.0,24.24609843937575,19.72949389179756,42.0,20.13109243697479,6.0
20,2013-01-03 13:00:00,18.245215311004785,26.57296715131933,8.01660516605166,21.740585774058577,15.081206496519721,16.99375,10.0,17.734501347708896,16.090232558139533,8.0,14.427983539094653,20.041019955654107
21,2013-01-03 16:00:00,18.304061470911087,27.373284054910243,7.875925925925926,20.249140893470788,15.754134509371555,9.0,11.0,18.667621776504298,17.368322399250236,14.0,15.194444444444445,18.852941176470583
22,2013-01-03 19:00:00,18.26463700234192,30.820942408376965,7.627272727272728,22.05320033250208,16.099276111685626,8.0,15.0,18.131543624161075,17.68015794669299,21.0,16.184448462929474,6.0
23,2013-01-03 22:00:00,18.975155279503106,36.6455497382199,7.669477234401349,26.311165845648603,14.004945598417411,9.0,16.0,15.227722772277227,16.118852459016395,28.0,20.114093959731548,8.0
24,2013-01-04 01:00:00,18.012578616352197,29.519128586609988,7.8716577540106965,23.70305676855895,12.083424807903404,8.0,10.0,13.753323485967504,15.429896907216493,20.0,17.73572593800979,8.0
25,2013-01-04 04:00:00,15.720663265306122,21.80791867308721,7.625838926174498,21.916107382550337,11.292122538293214,6.0,13.0,13.231111111111113,13.311291963377414,16.0,16.524236983842012,20.454545454545453
