,HORA,PROMEDIO
0, 1:00,29.51912858660999
1, 2:00,25.394456289978677
2, 3:00,22.837159636946076
3, 4:00,21.80791867308721
4, 5:00,23.46563665423548
5, 6:00,29.53012684989429
6, 7:00,38.03533755274262
7, 8:00,42.275171323141805
8, 9:00,39.67123287671233
9, 10:00,34.10368786745056
10, 11:00,29.526627218934912
11, 12:00,27.674242424242426
12, 13:00,26.572967151319332
13, 14:00,26.535944206008583
14, 15:00,27.004794885455514
15, 16:00,27.373284054910243
16, 17:00,28.050473186119874
17, 18:00,28.90278507619548
18, 19:00,30.820942408376965
19, 20:00,33.142036553524804
20, 21:00,35.941915227629515
21, 22:00,36.6455497382199
22, 23:00,35.93624868282402
23, 00:00,33.67284277395447
