,Unnamed: 0,HORA, MinAmbiente , Kennedy  , Puente Aranda , Usaquen , Tunal    , Carvajal - Sevillana , San Cristobal , Guaymaral , Fontibon , Suba     , Las Ferias , Centro de Alto Rendimiento 
0,0, 1:00,21.468341708542713,17.73572593800979,23.70305676855895,13.753323485967504,12.083424807903404,29.519128586609988,18.012578616352197,7.8716577540106965,18.807557732680195,15.429896907216493,19.865384615384613,12.435499515033948
1,1, 2:00,20.542283298097253,17.446043165467625,21.262938230383973,13.559822747415069,11.587912087912088,25.39445628997868,16.3437125748503,7.700336700336701,17.688387096774193,14.448039215686276,19.945216049382715,12.511650485436896
2,2, 3:00,20.16926272066459,16.493624772313293,21.2015503875969,13.149187592319054,11.66220735785953,22.837159636946076,15.904214559386975,7.570422535211267,16.269283746556475,13.757731958762886,18.55391776570985,11.444338725023787
3,3, 4:00,20.454545454545453,16.524236983842012,21.916107382550337,13.231111111111113,11.292122538293214,21.80791867308721,15.720663265306122,7.625838926174498,15.543018335684064,13.311291963377414,18.797847809377398,11.215686274509805
4,4, 5:00,22.01015228426396,17.48892674616695,24.61190276613579,12.983310152990265,11.469094922737307,23.46563665423548,15.745569620253164,7.695255474452555,15.26909090909091,13.410805300713555,20.381818181818183,10.637043966323668
5,5, 6:00,27.22942386831276,21.41,31.02889245585875,15.347156398104264,12.619000000000002,29.53012684989429,19.821510297482842,7.842198581560282,15.445047489823608,16.44785847299814,24.15763546798029,10.711254612546126
6,6, 7:00,32.83217477656405,26.179153094462546,37.669565217391295,19.31027253668763,15.528662420382163,38.03533755274262,23.8453276047261,8.124780316344465,19.21505376344086,20.158297872340427,27.76723549488055,12.457142857142856
7,7, 8:00,34.92125984251968,27.48615384615385,39.56357670221493,25.157608695652176,20.239033124440464,42.27517132314181,25.348940914158305,7.998011928429422,24.359813084112147,20.74547023295945,28.52407536636427,14.40129749768304
8,8, 9:00,32.48443579766537,23.51297709923664,35.1081307627829,27.56120092378753,21.86715195632393,39.671232876712324,23.93,8.146296296296295,24.36713055003313,20.616087751371115,24.182827535159138,14.4820415879017
9,9, 10:00,26.460460460460464,20.13109243697479,27.729596042868923,24.24609843937575,20.87679083094556,34.10368786745056,22.14300518134715,7.961254612546124,22.659793814432987,19.72949389179756,19.47546259050684,14.177132146204311
10,10, 11:00,22.208722741433018,16.688729874776385,23.06296603148301,21.29817708333333,17.13811007268951,29.52662721893491,19.024581005586594,7.873394495412843,18.976809557273366,17.855018587360593,16.606902356902356,13.017580144777662
11,11, 12:00,20.44709543568465,15.401904761904762,21.909628378378375,18.15951742627346,15.378704720087814,27.674242424242426,18.92708333333333,8.01747572815534,17.3015873015873,16.05075187969925,15.410441044104411,11.306693306693303
12,12, 13:00,20.041019955654107,14.427983539094653,21.740585774058577,17.734501347708896,15.081206496519721,26.57296715131933,18.245215311004785,8.01660516605166,16.99375,16.090232558139533,15.41534144059869,11.78256513026052
13,13, 14:00,19.554476806903992,15.002092050209205,21.025619834710746,17.610441767068274,15.004581901489118,26.535944206008587,19.001165501165506,7.956692913385828,18.1093023255814,17.026119402985074,15.768563162970107,12.079878665318505
14,14, 15:00,18.709710743801654,15.570858283433134,20.855047454702326,17.705382436260624,15.611542730299668,27.004794885455517,18.78723404255319,7.664220183486239,18.104704097116844,17.136910268270118,16.60878048780488,11.647792706333973
15,15, 16:00,18.852941176470583,15.194444444444445,20.249140893470788,18.667621776504298,15.754134509371555,27.373284054910243,18.304061470911087,7.875925925925926,17.639940608760213,17.368322399250236,16.699288256227756,11.589249492900608
16,16, 17:00,18.761485826001955,15.809782608695652,20.566523605150216,19.06258890469417,16.1288056206089,28.050473186119877,19.006787330316747,7.820415879017013,18.81703703703704,17.8697247706422,16.950126796280642,11.863
17,17, 18:00,19.574036511156187,15.64587155963303,20.84457236842105,18.878151260504197,16.052350427350426,28.902785076195478,18.678958785249453,7.864059590316573,18.506164383561643,18.13553113553113,17.327797202797207,12.652652652652652
18,18, 19:00,20.90738813735692,16.184448462929474,22.05320033250208,18.131543624161075,16.099276111685626,30.820942408376965,18.26463700234192,7.627272727272728,18.250338294993234,17.68015794669299,17.48311688311688,12.130634774609016
19,19, 20:00,21.82108626198083,18.147482014388487,23.834854771784233,17.43114543114543,15.20240480961924,33.142036553524804,18.552866242038213,7.703900709219857,18.028149190710767,17.066666666666666,18.821717990275527,11.834132310642376
20,20, 21:00,23.709514170040485,19.05766062602965,24.816597510373445,15.874352331606216,14.504770992366412,35.941915227629515,18.88089330024814,7.737226277372263,18.395977808599167,16.48762886597938,19.65552099533437,11.856358645928635
21,21, 22:00,25.041365046535677,20.114093959731548,26.311165845648603,15.227722772277227,14.004945598417411,36.6455497382199,18.975155279503106,7.669477234401349,18.456962911126663,16.118852459016395,20.256664127951254,11.83092224231465
22,22, 23:00,23.75,20.281519861830738,25.80686352753392,14.837606837606838,13.2861328125,35.93624868282402,18.668310727496923,7.912811387900356,18.39106529209622,15.140196078431373,20.44894894894895,12.147495361781075
23,23, 00:00,22.839959225280325,19.27979274611399,24.527960526315788,14.335031847133758,12.829344432882412,33.672842773954464,18.355781448538753,7.807142857142857,18.430344827586207,14.521695257315846,20.38783269961977,12.076850984067475
