,HORA, Puente Aranda , Fontibon , Centro de Alto Rendimiento , MinAmbiente , Usaquen , Las Ferias , San Cristobal , Kennedy  , Carvajal - Sevillana , Suba     , Tunal    
0,01:00:00 AM,3.8337531486,0.528659612,4.1013030685,1.6873396065,3.6609388097,2.231292517,1.4877102199,4.1001813237,1.0488671701,3.8811129848,1.3452538631
1,04:00:00 AM,3.8865546218,0.4635761589,4.080774085,1.5,3.5031446541,2,1.4651967142,4.0630671506,0.790480427,3.8410623946,1.3128615932
2,07:00:00 AM,3.881092437,0.5990295545,4.0294612795,1.5442496794,3.6799496644,2.2048997773,1.5981754996,4.2611262489,0.908117752,3.6972010178,1.2607158639
3,10:00:00 AM,3.9298614028,1.1918656057,4.2230639731,2.5456102784,3.6617831729,2.8587699317,1.9289735816,4.4424818841,1.9055851064,3.8063704946,2.0289093298
4,01:00:00 PM,4.1169321039,1.8746690203,4.2765598651,3.6239793726,4.0351758794,4.3356973995,2.391042205,4.5305755396,2.8985378821,3.8991631799,2.6541320507
5,04:00:00 PM,4.1515912898,1.8757161745,4.3857803955,3.597180692,4.1506276151,4.902200489,2.364882227,4.4508748318,2.8509700176,4.0054279749,2.5430318917
6,07:00:00 PM,4.1092964824,1.0487912088,4.3106347205,2.6569841948,3.9225941423,3.3508353222,1.9148480958,4.3669807088,1.847375386,3.9853433836,1.9031413613
7,10:00:00 PM,4.0318791946,0.6937967444,4.224137931,2.0713065756,3.7392214316,2.4125874126,1.6235496347,4.3148648649,1.432683791,3.8897274633,1.5294635004
