,HORA,PROMEDIO
0, 1:00,12.435499515033948
1, 2:00,12.511650485436894
2, 3:00,11.444338725023787
3, 4:00,11.215686274509803
4, 5:00,10.637043966323667
5, 6:00,10.711254612546126
6, 7:00,12.457142857142857
7, 8:00,14.40129749768304
8, 9:00,14.482041587901701
9, 10:00,14.177132146204311
10, 11:00,13.017580144777662
11, 12:00,11.306693306693306
12, 13:00,11.78256513026052
13, 14:00,12.079878665318503
14, 15:00,11.647792706333973
15, 16:00,11.589249492900608
16, 17:00,11.863
17, 18:00,12.652652652652653
18, 19:00,12.130634774609016
19, 20:00,11.834132310642378
20, 21:00,11.856358645928637
21, 22:00,11.830922242314648
22, 23:00,12.147495361781075
23, 00:00,12.076850984067478
