,HORA,PROMEDIO
0, 1:00,19.865384615384617
1, 2:00,19.945216049382715
2, 3:00,18.55391776570985
3, 4:00,18.7978478093774
4, 5:00,20.381818181818183
5, 6:00,24.157635467980295
6, 7:00,27.767235494880545
7, 8:00,28.524075366364272
8, 9:00,24.18282753515914
9, 10:00,19.475462590506837
10, 11:00,16.606902356902356
11, 12:00,15.410441044104411
12, 13:00,15.41534144059869
13, 14:00,15.768563162970105
14, 15:00,16.60878048780488
15, 16:00,16.699288256227756
16, 17:00,16.950126796280642
17, 18:00,17.327797202797203
18, 19:00,17.48311688311688
19, 20:00,18.821717990275527
20, 21:00,19.65552099533437
21, 22:00,20.256664127951257
22, 23:00,20.44894894894895
23, 00:00,20.38783269961977
