,HORA,PROMEDIO
0, 1:00,23.70305676855895
1, 2:00,21.262938230383973
2, 3:00,21.2015503875969
3, 4:00,21.916107382550337
4, 5:00,24.611902766135792
5, 6:00,31.02889245585875
6, 7:00,37.6695652173913
7, 8:00,39.56357670221493
8, 9:00,35.1081307627829
9, 10:00,27.72959604286892
10, 11:00,23.062966031483015
11, 12:00,21.90962837837838
12, 13:00,21.740585774058577
13, 14:00,21.025619834710742
14, 15:00,20.85504745470233
15, 16:00,20.24914089347079
16, 17:00,20.566523605150216
17, 18:00,20.84457236842105
18, 19:00,22.05320033250208
19, 20:00,23.834854771784233
20, 21:00,24.816597510373445
21, 22:00,26.311165845648603
22, 23:00,25.806863527533917
23, 00:00,24.52796052631579
