,HORA,PROMEDIO
0, 1:00,21.468341708542713
1, 2:00,20.542283298097253
2, 3:00,20.16926272066459
3, 4:00,20.454545454545453
4, 5:00,22.01015228426396
5, 6:00,27.229423868312757
6, 7:00,32.83217477656405
7, 8:00,34.92125984251968
8, 9:00,32.48443579766537
9, 10:00,26.46046046046046
10, 11:00,22.20872274143302
11, 12:00,20.44709543568465
12, 13:00,20.041019955654104
13, 14:00,19.554476806903992
14, 15:00,18.709710743801654
15, 16:00,18.852941176470587
16, 17:00,18.761485826001955
17, 18:00,19.574036511156187
18, 19:00,20.90738813735692
19, 20:00,21.82108626198083
20, 21:00,23.709514170040485
21, 22:00,25.041365046535677
22, 23:00,23.75
23, 00:00,22.839959225280325
