,HORA,PROMEDIO
0, 1:00,13.753323485967504
1, 2:00,13.559822747415067
2, 3:00,13.149187592319056
3, 4:00,13.231111111111112
4, 5:00,12.983310152990263
5, 6:00,15.347156398104266
6, 7:00,19.31027253668763
7, 8:00,25.157608695652176
8, 9:00,27.561200923787528
9, 10:00,24.24609843937575
10, 11:00,21.298177083333332
11, 12:00,18.15951742627346
12, 13:00,17.734501347708896
13, 14:00,17.610441767068274
14, 15:00,17.705382436260624
15, 16:00,18.667621776504298
16, 17:00,19.062588904694167
17, 18:00,18.8781512605042
18, 19:00,18.131543624161075
19, 20:00,17.43114543114543
20, 21:00,15.874352331606218
21, 22:00,15.227722772277227
22, 23:00,14.837606837606838
23, 00:00,14.335031847133758
