,HORA,PROMEDIO
0, 1:00,18.0125786163522
1, 2:00,16.3437125748503
2, 3:00,15.904214559386974
3, 4:00,15.720663265306122
4, 5:00,15.745569620253164
5, 6:00,19.82151029748284
6, 7:00,23.8453276047261
7, 8:00,25.348940914158305
8, 9:00,23.93
9, 10:00,22.14300518134715
10, 11:00,19.024581005586594
11, 12:00,18.927083333333332
12, 13:00,18.245215311004785
13, 14:00,19.001165501165502
14, 15:00,18.78723404255319
15, 16:00,18.304061470911087
16, 17:00,19.006787330316744
17, 18:00,18.678958785249456
18, 19:00,18.26463700234192
19, 20:00,18.552866242038217
20, 21:00,18.88089330024814
21, 22:00,18.975155279503106
22, 23:00,18.668310727496916
23, 00:00,18.355781448538753
