,HORA,PROMEDIO
0, 1:00,7.871657754010696
1, 2:00,7.700336700336701
2, 3:00,7.570422535211268
3, 4:00,7.625838926174497
4, 5:00,7.695255474452555
5, 6:00,7.842198581560283
6, 7:00,8.124780316344465
7, 8:00,7.998011928429423
8, 9:00,8.146296296296295
9, 10:00,7.961254612546125
10, 11:00,7.873394495412844
11, 12:00,8.01747572815534
12, 13:00,8.01660516605166
13, 14:00,7.956692913385827
14, 15:00,7.664220183486239
15, 16:00,7.875925925925926
16, 17:00,7.8204158790170135
17, 18:00,7.8640595903165735
18, 19:00,7.627272727272727
19, 20:00,7.703900709219858
20, 21:00,7.737226277372263
21, 22:00,7.669477234401349
22, 23:00,7.912811387900356
23, 00:00,7.807142857142857
